station,state,latitude,longitude,elevation,avg_temp,total_prcp
DETROIT WILLOW RUN AP,MI,42.2333,-83.5333,236.8,55.11332046332046,21.79528736
DILLON AP,MT,45.2575,-112.5545,1585.0,47.72148854961832,7.9527602
DODGE CITY,KS,37.7608,-99.9683,789.4,59.91717557251908,23.66930412
DOTHAN RGNL AP,AL,31.3214,-85.4497,112.8,70.96480769230769,43.98821273
DOUGLAS BISBEE INL AP,AZ,31.4583,-109.6061,1251.2,66.92996183206107,8.69291808
DOUGLAS CONVERSE CO AP,WY,42.7972,-105.3856,1502.4,51.14473076923077,11.70866774
DOYLESTOWN AP,PA,40.33,-75.1225,120.1,56.5619140625,36.55513785
DRYDEN TERRELL CO AP,TX,30.0481,-102.2131,707.7,73.24146153846154,10.60630494
DUBOIS JEFFERSON CO AP,PA,41.1783,-78.8989,552.9,51.9692277992278,31.49608
DUBUQUE RGNL AP,IA,42.3978,-90.7036,321.9,52.27713740458015,27.90552688
DULUTH,MN,46.8369,-92.2097,435.3,44.46706106870229,28.72836197
DUNKIRK CHAUTAUQUA AP,NY,42.4933,-79.2722,203.0,52.3002734375,23.33859528
DURANGO LA PLATA CO AP,CO,37.1431,-107.7597,2030.0,51.333038461538465,8.12598864
Daisy Peak,MT,46.67,-110.33,2316.5,40.93318181818182,17.13780453
Daly Creek,MT,46.18,-113.85,1761.7,42.917272727272724,19.90552256
Daly Lake,OR,44.52,-122.09,1124.7,49.104772727272724,60.99215892
Daniels-Strawberry,UT,40.3,-111.26,2449.7,44.53386363636364,30.771670160000003
Darkhorse Lake,MT,45.17,-113.58,2621.3,38.34840909090909,36.192932930000005
Deadman Creek,MT,46.79,-110.68,1966.0,40.256136363636365,15.748040000000001
Deadman Hill,CO,40.81,-105.77,3115.1,38.031363636363636,26.6535577
Deadwood Summit,ID,44.54,-115.56,2090.9,39.992954545454545,61.88192318
Deer Park,WY,42.59,-108.9,2956.6,38.20318181818182,39.14962744
Derr.,OR,44.45,-119.93,1783.1,45.13931818181818,24.236233560000002
Diamond Lake,OR,43.19,-122.14,1609.3,45.53068181818182,41.46458932
Diamond Peak,NV,39.56,-115.84,2448.5,43.99454545454545,15.275598800000001
Dill's Camp,UT,39.05,-111.47,2798.7,44.40568181818182,25.862218690000002
Disaster Peak,NV,41.97,-118.19,1981.2,51.00840909090909,17.96851364
Dismal Swamp,CA,41.99,-120.18,2243.3,42.111363636363635,50.36616893
Divide,MT,44.79,-112.06,2377.4,41.023863636363636,18.7007975
Divide Peak,WY,41.3,-107.15,2706.6,45.08340909090909,21.83859447
Dollarhide Summit,ID,43.6,-114.67,2566.4,43.08236641221374,40.18112406
Dome Lake,WY,44.57,-107.3,2706.6,39.371818181818185,25.2362341
Donkey Reservoir,UT,38.21,-111.48,2987.0,42.00295454545455,15.354339000000001
Dorsey Basin,NV,40.89,-115.2,2468.9,44.049090909090914,31.484268970000002
Draw Creek,NV,41.66,-115.32,2194.6,46.78795454545455,28.46851931
Dry Bread Pond,UT,41.41,-111.54,2545.1,44.452045454545456,31.17718219
Dry Fork,UT,40.57,-112.17,2161.9,48.04113636363637,23.968516880000003
Dungeness,WA,47.87,-123.08,1222.2,44.291818181818186,29.95670909
Dupuyer Creek,MT,48.06,-112.76,1752.6,44.77795454545454,19.55906568
EAGLE AP,AK,64.7767,-141.1483,276.8,31.77899613899614,8.29134306
EAST JORDAN 2NW,MI,45.1864,-85.1478,196.9,47.070534351145035,29.27166935
EAU CLAIRE RGNL AP,WI,44.8664,-91.4878,269.7,49.08338461538462,28.6614328
EF Blacks Fork GS,UT,40.88,-110.54,2852.9,40.40681818181818,24.37402891
EL DORADO S AR RGNL AP,AR,33.2208,-92.8142,76.8,68.39186770428016,38.33860338
EL PASO INTL AP,TX,31.8111,-106.3758,1194.2,71.69343511450381,7.93307515
ELIZABETH CITY CGAS,NC,36.2606,-76.175,4.0,65.18767175572519,37.16143739
ELKINS RANDOLPH CO AP,WV,38.8853,-79.8528,603.2,55.3962213740458,35.7086807
ELKO RGNL AP,NV,40.8289,-115.7886,1533.1,53.4508076923077,8.46850851
ELLENSBURG BOWERS FLD,WA,47.0339,-120.5303,538.3,52.4345,6.36220816
ELMIRA CORNING RGNL AP,NY,42.1594,-76.8919,291.1,52.11100386100386,24.2913517
ELY YELLAND FLD AP,NV,39.2953,-114.8467,1908.7,51.322758620689655,8.30315409
ELYRIA LORAIN CO AP,OH,41.3461,-82.1794,242.0,54.215291828793774,31.60237927
EMPORIA MUNI AP,KS,38.3306,-96.1897,368.5,60.34722007722008,28.18505459
EPHRATA MUNI AP,WA,47.3078,-119.5153,381.6,55.31824427480916,5.82283779
